text,prediksi_label
Produk tersebut sungguh rapi dan saya suka.,positif
Aplikasi ini sungguh ribet buang-buang uang.,negatif
Bahannya terbuat dari 8 pagi.,netral
Desainnya sangat keren recommend banget.,positif
Harganya benar-benar memuaskan banget.,positif
Desainnya lumayan efisien dan saya suka.,positif
Kualitasnya terlalu bagus bikin betah.,positif
Produk tersebut terlalu memuaskan top markotop.,positif
Harganya sekitar nasi dan ayam.,netral
Harganya lumayan rusak kapok.,negatif
Pengirimannya agak tidak enak menyesal beli.,negatif
Desainnya sangat buruk kapok.,negatif
Saya membeli pusat kota.,netral
Kualitasnya agak berantakan sangat disayangkan.,negatif
Hotelnya agak tidak enak menyesal beli.,negatif
Hotelnya terlalu rapi dan saya suka.,positif
Produk tersebut terlalu membantu recommend banget.,positif
Warna produk ini versi terbaru.,netral
Lokasinya ada di kemarin sore.,netral
Harganya benar-benar ramah mantap.,positif
Saya membeli plastik.,netral
Aplikasi ini cukup keren terbaik.,positif
Makanan ini benar-benar tidak enak kapok.,negatif
Hotelnya sangat buruk tidak recommended.,negatif
Lokasinya ada di XL.,netral
Mereka buka jam 8 pagi.,netral
Fiturnya cukup efisien sekali!,positif
Fiturnya cukup lambat tolong perbaiki.,negatif
Menu terdiri dari merah dan biru.,netral
Bahannya terbuat dari versi terbaru.,netral
Aplikasi ini agak kasar tidak recommended.,negatif
Pengirimannya terlalu bagus recommend banget.,positif
Ukurannya adalah kemarin sore.,netral
Pelayanan di sini terlalu keren terbaik.,positif
Aplikasi ini terlalu ribet kapok.,negatif
Saya membeli merah dan biru.,netral
Pelayanan di sini sangat kasar kapok.,negatif
Hotelnya agak kasar buang-buang uang.,negatif
Menu terdiri dari kemarin sore.,netral
Pengirimannya benar-benar berantakan sangat disayangkan.,negatif
Harganya terlalu lezat top markotop.,positif
Ukurannya adalah 8 pagi.,netral
Bahannya terbuat dari pusat kota.,netral
Ukurannya adalah kemarin sore.,netral
Produk tersebut cukup lambat menyesal beli.,negatif
Kualitasnya sungguh kasar kapok.,negatif
Pelayanan di sini agak memuaskan banget.,positif
Fiturnya terlalu berantakan tidak recommended.,negatif
Makanan ini benar-benar kasar buang-buang uang.,negatif
Makanan ini sangat mahal kapok.,positif
Aplikasi ini agak rusak tidak recommended.,negatif
Desainnya cukup ribet buang-buang uang.,negatif
Harganya benar-benar mengecewakan sangat disayangkan.,negatif
Pelayanan di sini lumayan bagus recommend banget.,positif
Pengirimannya sangat rapi mantap.,positif
Pelayanan di sini terlalu tidak enak menyesal beli.,negatif
Makanan ini cukup efisien terbaik.,positif
Produk tersebut lumayan ribet kapok.,negatif
Aplikasi ini agak membantu mantap.,positif
Produk tersebut agak cepat top markotop.,positif
Hotelnya cukup luar biasa terbaik.,positif
Desainnya cukup jelek tidak recommended.,negatif
Pengirimannya sangat keren dan saya suka.,positif
Kualitasnya sungguh efisien terbaik.,positif
Kualitasnya terlalu rusak buang-buang uang.,negatif
Harganya cukup tidak enak tolong perbaiki.,negatif
Kualitasnya benar-benar mengecewakan buang-buang uang.,negatif
Pelayanan di sini lumayan membantu sekali!,positif
Produk tersebut cukup mengecewakan sangat disayangkan.,negatif
Warna produk ini XL.,netral
Lokasinya ada di merah dan biru.,netral
Desainnya sangat ramah sekali!,positif
Produk tersebut sungguh mengecewakan bikin emosi.,negatif
Hotelnya sungguh tidak enak kapok.,negatif
Saya membeli hari senin.,netral
Pesanan datang pada plastik.,netral
Warna produk ini nasi dan ayam.,netral
Makanan ini sungguh tidak enak parah.,negatif
Harganya cukup luar biasa top markotop.,positif
Desainnya cukup rapi dan saya suka.,positif
Desainnya cukup efisien terbaik.,positif
Harganya sekitar XL.,netral
Kualitasnya agak keren sekali!,positif
Pengirimannya benar-benar mahal sangat disayangkan.,negatif
Hotelnya sungguh membantu top markotop.,positif
Pengirimannya agak buruk sangat disayangkan.,negatif
Aplikasi ini sungguh membantu terbaik.,positif
Pesanan datang pada versi terbaru.,netral
Mereka buka jam pusat kota.,netral
Harganya sekitar 50 ribu rupiah.,netral
Harganya sungguh membantu recommend banget.,positif
Hotelnya terlalu mengecewakan sangat disayangkan.,negatif
Desainnya agak luar biasa banget.,positif
Hotelnya terlalu berantakan tolong perbaiki.,negatif
Ukurannya adalah 8 pagi.,netral
Hotelnya sungguh jelek tidak recommended.,negatif
Hotelnya sangat membantu mantap.,positif
Makanan ini benar-benar berantakan sangat disayangkan.,negatif
Ini adalah nasi dan ayam.,netral
Bahannya terbuat dari XL.,netral
Lokasinya ada di XL.,netral
Pesanan datang pada pusat kota.,netral
Menu terdiri dari merah dan biru.,netral
Hotelnya agak buruk parah.,negatif
Harganya sangat cepat bikin betah.,positif
Makanan ini terlalu memuaskan recommend banget.,positif
Warna produk ini nasi dan ayam.,netral
Pelayanan di sini cukup keren banget.,positif
Desainnya sungguh membantu top markotop.,positif
Pesanan datang pada hari senin.,netral
Harganya sangat efisien sekali!,positif
Ukurannya adalah kemarin sore.,netral
Pengirimannya sungguh rusak buang-buang uang.,negatif
Fiturnya terlalu mengecewakan tidak recommended.,negatif
Makanan ini terlalu lambat buang-buang uang.,negatif
Kualitasnya lumayan kasar sangat disayangkan.,negatif
Bahannya terbuat dari versi terbaru.,netral
Hotelnya lumayan buruk sangat disayangkan.,negatif
Pelayanan di sini sangat bagus recommend banget.,positif
Fiturnya lumayan cepat top markotop.,positif
Kualitasnya lumayan lezat dan saya suka.,positif
Fiturnya lumayan lezat mantap.,positif
Ukurannya adalah 50 ribu rupiah.,netral
Hotelnya sungguh keren sekali!,positif
Lokasinya ada di kemarin sore.,netral
Desainnya agak tidak enak parah.,negatif
Ukurannya adalah merah dan biru.,netral
Kualitasnya agak luar biasa top markotop.,positif
Harganya sekitar hari senin.,netral
Harganya cukup buruk menyesal beli.,negatif
Pesanan datang pada kemarin sore.,netral
Makanan ini lumayan memuaskan recommend banget.,positif
Warna produk ini hari senin.,netral
Mereka buka jam 8 pagi.,netral
Menu terdiri dari versi terbaru.,netral
Saya membeli plastik.,netral
Mereka buka jam pusat kota.,netral
Pengirimannya sungguh berantakan parah.,negatif
Harganya sekitar hari senin.,netral
Desainnya agak mengecewakan kapok.,negatif
Produk tersebut lumayan lezat dan saya suka.,positif
Saya membeli plastik.,netral
Pelayanan di sini benar-benar berantakan menyesal beli.,negatif
Aplikasi ini sangat rapi terbaik.,positif
Makanan ini agak efisien dan saya suka.,positif
Aplikasi ini benar-benar efisien top markotop.,positif
Harganya benar-benar memuaskan dan saya suka.,positif
Saya membeli merah dan biru.,netral
Lokasinya ada di merah dan biru.,netral
Hotelnya cukup mahal bikin emosi.,negatif
Pelayanan di sini lumayan berantakan tidak recommended.,negatif
Saya membeli plastik.,netral
Aplikasi ini terlalu buruk menyesal beli.,negatif
Kualitasnya sungguh bagus recommend banget.,positif
Hotelnya terlalu memuaskan recommend banget.,positif
Pelayanan di sini terlalu ramah dan saya suka.,positif
Fiturnya terlalu membantu recommend banget.,positif
Fiturnya benar-benar mengecewakan bikin emosi.,negatif
Saya membeli XL.,netral
Fiturnya agak kasar buang-buang uang.,negatif
Hotelnya sungguh mahal buang-buang uang.,negatif
Hotelnya lumayan lambat parah.,negatif
Kualitasnya cukup ramah banget.,positif
Ukurannya adalah XL.,netral
Pengirimannya sungguh ramah banget.,positif
Aplikasi ini agak luar biasa mantap.,positif
Ukurannya adalah hari senin.,netral
Makanan ini agak efisien top markotop.,positif
Pelayanan di sini lumayan lezat recommend banget.,positif
Ini adalah plastik.,netral
Saya membeli XL.,netral
Aplikasi ini terlalu bagus top markotop.,positif
Harganya agak berantakan buang-buang uang.,negatif
Harganya sekitar kemarin sore.,netral
Fiturnya sangat rapi terbaik.,positif
Pengirimannya benar-benar membantu mantap.,positif
Aplikasi ini lumayan rapi mantap.,positif
Produk tersebut lumayan mengecewakan tolong perbaiki.,negatif
Desainnya sungguh tidak enak bikin emosi.,negatif
Fiturnya lumayan buruk buang-buang uang.,negatif
Pengirimannya cukup berantakan parah.,negatif
Produk tersebut lumayan mahal tolong perbaiki.,negatif
Harganya sekitar hari senin.,netral
Pesanan datang pada pusat kota.,netral
Produk tersebut benar-benar ramah banget.,positif
Ini adalah versi terbaru.,netral
Hotelnya sungguh ramah banget.,positif
Aplikasi ini cukup ribet menyesal beli.,negatif
Mereka buka jam 50 ribu rupiah.,netral
Ukurannya adalah XL.,netral
Lokasinya ada di 8 pagi.,netral
Harganya sekitar hari senin.,netral
Ukurannya adalah hari senin.,netral
Ukurannya adalah 8 pagi.,netral
Bahannya terbuat dari XL.,netral
Hotelnya terlalu ramah mantap.,positif
Ukurannya adalah pusat kota.,netral
Fiturnya cukup luar biasa bikin betah.,positif
Fiturnya sangat luar biasa sekali!,positif
Aplikasi ini benar-benar tidak enak buang-buang uang.,negatif
Aplikasi ini lumayan tidak enak tolong perbaiki.,negatif
Fiturnya sangat rapi top markotop.,positif
Makanan ini agak mengecewakan parah.,negatif
Hotelnya terlalu lezat terbaik.,positif
Ini adalah 8 pagi.,netral
Makanan ini sangat luar biasa top markotop.,positif
Pesanan datang pada versi terbaru.,netral
Desainnya lumayan jelek menyesal beli.,negatif
Kualitasnya sangat memuaskan terbaik.,positif
Pelayanan di sini sangat luar biasa top markotop.,positif
Harganya sekitar versi terbaru.,netral
Fiturnya cukup keren terbaik.,positif
Hotelnya cukup memuaskan top markotop.,positif
Harganya sangat memuaskan terbaik.,positif
Produk tersebut terlalu ribet buang-buang uang.,negatif
Aplikasi ini terlalu lambat parah.,negatif
Kualitasnya cukup rapi recommend banget.,positif
Saya membeli merah dan biru.,netral
